1940 01 26 11,10,NaN,50000,0,5604,1,-197,1,NaN,NaN,NaN,NaN,NaN
1940 01 26 11,10,NaN,40000,0,7218,1,-308,1,NaN,NaN,NaN,NaN,NaN
1940 01 27 11,20,NaN,90000,0,976,1,22,0,NaN,NaN,NaN,NaN,NaN
1940 01 27 11,20,NaN,80000,0,1921,1,-10,0,NaN,NaN,NaN,NaN,NaN
1940 01 27 11,10,NaN,70000,0,2980,1,-47,1,NaN,NaN,NaN,NaN,NaN
1940 01 27 11,20,NaN,60000,0,4180,1,-100,1,NaN,NaN,NaN,NaN,NaN
1940 01 27 11,10,NaN,50000,0,5568,1,-175,1,NaN,NaN,NaN,NaN,NaN
1940 01 27 11,10,NaN,40000,0,7204,1,-262,1,NaN,NaN,NaN,NaN,NaN
1940 01 27 11,10,NaN,30000,0,9208,1,-430,1,NaN,NaN,NaN,NaN,NaN
1940 01 27 11,10,NaN,20000,0,11833,1,-580,1,NaN,NaN,NaN,NaN,NaN
1940 01 27 11,10,NaN,10000,0,16276,1,-490,1,NaN,NaN,NaN,NaN,NaN
1940 01 28 11,20,NaN,90000,0,979,1,-33,0,NaN,NaN,NaN,NaN,NaN
1940 01 28 11,20,NaN,80000,0,1910,1,-37,0,NaN,NaN,NaN,NaN,NaN
1940 01 28 11,10,NaN,70000,0,2961,1,-68,1,NaN,NaN,NaN,NaN,NaN
1940 01 28 11,20,NaN,60000,0,4156,1,-101,1,NaN,NaN,NaN,NaN,NaN
1940 01 28 11,10,NaN,50000,0,5549,1,-159,1,NaN,NaN,NaN,NaN,NaN
1940 01 28 11,10,NaN,40000,0,7195,1,-265,1,NaN,NaN,NaN,NaN,NaN
1940 01 28 11,10,NaN,30000,0,9212,1,-410,1,NaN,NaN,NaN,NaN,NaN
1940 01 28 11,10,NaN,20000,0,11872,1,-565,1,NaN,NaN,NaN,NaN,NaN
1940 01 28 11,10,NaN,10000,0,16311,1,-510,1,NaN,NaN,NaN,NaN,NaN
1940 01 29 10,20,NaN,90000,0,966,1,-55,0,NaN,NaN,NaN,NaN,NaN
1940 01 29 10,20,NaN,80000,0,1892,1,-28,0,NaN,NaN,NaN,NaN,NaN
1940 01 29 10,10,NaN,70000,0,2944,1,-51,1,NaN,NaN,NaN,NaN,NaN
1940 01 29 10,20,NaN,60000,0,4134,1,-104,1,NaN,NaN,NaN,NaN,NaN
1940 01 29 10,10,NaN,50000,0,5522,1,-186,1,NaN,NaN,NaN,NaN,NaN
1940 01 29 10,10,NaN,40000,0,7154,1,-300,1,NaN,NaN,NaN,NaN,NaN
1940 01 29 10,10,NaN,30000,0,9139,1,-442,1,NaN,NaN,NaN,NaN,NaN
1940 01 29 10,10,NaN,20000,0,11772,1,-558,1,NaN,NaN,NaN,NaN,NaN
1940 01 30 11,20,NaN,90000,0,934,1,-40,0,NaN,NaN,NaN,NaN,NaN
1940 01 30 11,20,NaN,80000,0,1873,1,-16,0,NaN,NaN,NaN,NaN,NaN
1940 01 30 11,10,NaN,70000,0,2927,1,-68,1,NaN,NaN,NaN,NaN,NaN
1940 01 30 11,20,NaN,60000,0,4115,1,-132,1,NaN,NaN,NaN,NaN,NaN
1940 01 30 11,10,NaN,50000,0,5410,1,-230,1,NaN,NaN,NaN,NaN,NaN
1940 01 30 11,10,NaN,40000,0,7073,1,-337,1,NaN,NaN,NaN,NaN,NaN
1940 01 30 11,10,NaN,30000,0,9027,1,-485,1,NaN,NaN,NaN,NaN,NaN
1940 01 30 11,10,NaN,20000,0,11655,1,-512,1,NaN,NaN,NaN,NaN,NaN
1940 01 30 11,10,NaN,10000,0,16170,1,-500,1,NaN,NaN,NaN,NaN,NaN
1940 01 30 11,10,NaN,5000,0,20600,1,-492,1,NaN,NaN,NaN,NaN,NaN
1940 01 31 11,20,NaN,90000,0,871,1,16,0,NaN,NaN,NaN,NaN,NaN
1940 01 31 11,20,NaN,80000,0,1821,1,6,0,NaN,NaN,NaN,NaN,NaN
